c2sp.org/CCTV/age	v0.0.0-20251208015420-e9274a7bdbfd
google.golang.org/genproto/googleapis/rpc	v0.0.0-20260622175928-b703f567277d
google.golang.org/grpc	v1.49.0
google.golang.org/grpc	v1.81.1
google.golang.org/protobuf	v1.28.1
google.golang.org/protobuf	v1.36.12-0.20260120151049-f2248ac996af
gopkg.in/check.v1	v1.0.0-20201130134442-10cb98267c6c
gopkg.in/evanphx/json-patch.v4	v4.13.0
gopkg.in/inf.v0	v0.9.1
gopkg.in/ini.v1	v1.67.0
gopkg.in/ini.v1	v1.67.3
gopkg.in/square/go-jose.v2	v2.6.0
gopkg.in/urfave/cli.v1	v1.20.0
gopkg.in/warnings.v0	v0.1.2
gopkg.in/yaml.v2	v2.4.0
gopkg.in/yaml.v3	v3.0.1
gotest.tools	v2.2.0%2Bincompatible
gotest.tools/v3	v3.5.2
helm.sh/helm/v3	v3.11.2
helm.sh/helm/v3	v3.21.3
k8s.io/api	v0.26.0
k8s.io/api	v0.36.2
k8s.io/apiextensions-apiserver	v0.26.0
k8s.io/apiextensions-apiserver	v0.36.2
k8s.io/apimachinery	v0.26.0
k8s.io/apimachinery	v0.36.2
k8s.io/apiserver	v0.26.0
k8s.io/apiserver	v0.36.2
k8s.io/cli-runtime	v0.26.0
k8s.io/cli-runtime	v0.36.2
k8s.io/client-go	v0.26.0
k8s.io/client-go	v0.36.2
k8s.io/component-base	v0.26.0
k8s.io/component-base	v0.36.2
k8s.io/klog/v2	v2.140.0
k8s.io/klog/v2	v2.80.1
k8s.io/kube-openapi	v0.0.0-20221012153701-172d655c2280
k8s.io/kube-openapi	v0.0.0-20260603220949-865597e52e25
k8s.io/kubectl	v0.26.0
k8s.io/kubectl	v0.36.2
k8s.io/utils	v0.0.0-20221107191617-1a15be271d1d
k8s.io/utils	v0.0.0-20260507154919-ff6756f316d2
oras.land/oras-go	v1.2.2
oras.land/oras-go/v2	v2.6.2
pgregory.net/rapid	v1.2.0
sigs.k8s.io/controller-runtime	v0.24.1
sigs.k8s.io/json	v0.0.0-20220713155537-f223a00ba0e2
sigs.k8s.io/json	v0.0.0-20250730193827-2d320260d730
sigs.k8s.io/kustomize/api	v0.12.1
sigs.k8s.io/kustomize/api	v0.21.1
sigs.k8s.io/kustomize/kyaml	v0.13.9
sigs.k8s.io/kustomize/kyaml	v0.21.1
sigs.k8s.io/randfill	v1.0.0
sigs.k8s.io/structured-merge-diff/v4	v4.2.3
sigs.k8s.io/structured-merge-diff/v6	v6.4.0
sigs.k8s.io/yaml	v1.3.0
sigs.k8s.io/yaml	v1.6.0
